bn:00044576n;candidate_root;homo;0;0;[OMWN_FA,WN,WNTR,OMWN_NO,OMWN_JA,OMWN_HE,OMWN_ZH,OMWN_TH,OMWN_NN,OMWN_DA,OMWN_PL,OMWN_GAE,OMWN_FR,OMWN_MS,OMWN_ID,OMWN_EL,WN2020,OMWIKI,OMWN_IT,MCR_ES,MCR_CA,MCR_GL,MCR_PT,MCR_EU,OMWN_HR,ICEWN,OMWN_SQ,SALDO,OMWN_BG,OMWN_FI,WIKIRED,WIKIDATA_ALIAS,WIKI,WIKIDATA,OMWN_AR,WIKT,WONEF,OMWN_PT,OMWN_LT,OMWN_SK,OMWN_RO,WIKITR,IWN,OMWN_NL,SLOWNET,BABELNET]
bn:00248578n;candidate_root;Trade_literature;22;0;[WIKI,WIKIRED,WIKIDATA]
bn:21705963n;candidate_root;Religious_calling;46;0;[WIKIRED,WIKI,WIKIDATA_ALIAS,WIKIDATA]
bn:00031027n;candidate_root;entity;18;0;[OMWN_EL,WNTR,WN,OMWN_TH,OMWN_HE,OMWN_ZH,OMWN_JA,OMWN_GAE,WN2020,OMWIKI,OMWN_FR,MCR_PT,MCR_EU,OMWN_IT,OMWN_HR,OMWN_FI,MCR_CA,OMWN_SQ,MCR_ES,MCR_GL,OMWN_RO,OMWN_SK,OMWN_PT,OMWN_LT,OMWN_AR,WIKITR,WIKT,IWN,OMWN_ID,OMWN_MS,OMWN_NL,SLOWNET]
bn:04751152n;candidate_root;production_center;7;0;[WIKIDATA_ALIAS,WIKIDATA,WIKIRED,WIKI]
bn:00234465n;candidate_root;Unordered_pair;58;0;[WIKITR,WIKIRED,WIKI,WIKIDATA_ALIAS,WIKIDATA]
bn:01027542n;candidate_root;source_of_information;164;0;[WIKITR,WIKIDATA,WIKI,WIKIRED,WIKIDATA_ALIAS]
bn:16932101n;candidate_root;routine;140;0;[WIKIRED,WIKIDATA_ALIAS,WIKIDATA,WIKI]
bn:14685380n;candidate_root;resource;200;0;[OMWIKI,WIKI,WIKIRED,WIKITR,WIKIDATA_ALIAS,WIKIDATA]
bn:06171637n;candidate_root;signaling_system;66;0;[WIKIDATA,WIKIRED,WIKI,WIKIDATA_ALIAS]
bn:03245758n;candidate_root;engineering_process;512;0;[WIKIDATA,WIKIRED,WIKIDATA_ALIAS,WIKI,WIKITR]
bn:15921369n;candidate_root;adaptation;14;0;[WIKIDATA,WIKI]
bn:05749505n;candidate_root;psychological_phenomenon;16;0;[WIKI,WIKIDATA,WIKIDATA_ALIAS,WIKIRED]
bn:04889559n;candidate_root;flow_of_matter_and_energy;22;0;[WIKIDATA,WIKIDATA_ALIAS,WIKI,WIKIRED]
bn:02936056n;candidate_root;Cellular_component;365;0;[WIKIDATA,WIKIDATA_ALIAS,WIKIRED,WIKI]
bn:15090031n;candidate_root;posture;424;0;[WIKIDATA,WIKIDATA_ALIAS,WIKIRED,WIKI]
